FECHA,DISPOSITIVO,TIEMPO DE SESION,TRAFICO DE SUBIDA,TRAFICO BAJADA,SESIONES,USUARIOS,ID ZONA,NOMBRE ZONA,MUNICIPIO
17/11/2021,34fa9f248e20,"15,182",21,411,58,10,"1,674",7683408001_Valle del Cauca_TuluÃ¡_Coliseo de F,TULUÁ
17/11/2021,34fa9f247760,"48,505",139,"2,793",65,28,"1,683",7649708002_Obando_Villa Europa,OBANDO
17/11/2021,34fa9f248ae0,"38,322",278,"6,469",125,22,"1,683",7649708002_Obando_Villa Europa,OBANDO
17/11/2021,34fa9f247f70,"63,096",150,"1,618",221,69,"1,685",7689508001_Valle del Cauca_Zarzal_Parque san,ZARZAL
17/11/2021,34fa9f2534a0,"84,676",158,"1,710",172,72,"1,685",7689508001_Valle del Cauca_Zarzal_Parque san,ZARZAL
17/11/2021,34fa9f248b40,"47,828",87,"1,376",51,23,"1,686",7689208001_Valle del Cauca_Yumbo_Guadalupe,YUMBO
17/11/2021,34fa9f2446f0,"44,168",33,544,44,29,"1,691",7667008001_Valle del Cauca_San Pedro_Parque,SAN PEDRO
17/11/2021,34fa9f245040,"59,997",69,"1,085",54,31,"1,691",7667008001_Valle del Cauca_San Pedro_Parque,SAN PEDRO
17/11/2021,34fa9f255690,"14,718",29,155,48,15,"1,700",7689508002_Valle del Cauca_Zarzal_Parque,ZARZAL
17/11/2021,8c7a151ae0d0,"52,350",214,"2,885",117,43,"1,700",7689508002_Valle del Cauca_Zarzal_Parque,ZARZAL
17/11/2021,34fa9f248b50,"212,731","2,093","5,725",115,69,"1,702",7689208003_Valle del Cauca_Yumbo_Polidepo,YUMBO
17/11/2021,34fa9f246fc0,"19,664",61,972,46,14,"1,706",7682308002_Valle del Cauca_Toro_El Chanco,TORO
17/11/2021,34fa9f2474f0,"39,198",47,810,93,20,"1,713",7624808002_EL CERRITO_PARQUE EL PLACER,EL CERRITO
17/11/2021,34fa9f2486d0,"8,644",7,77,55,17,"1,713",7624808002_EL CERRITO_PARQUE EL PLACER,EL CERRITO
17/11/2021,34fa9f2495a0,"22,749",88,810,120,28,"1,716",7640008002_LA UNION_CASA DE LA CULTURA Y ERMI,LA UNION
17/11/2021,34fa9f2470e0,"49,727",126,"1,487",141,30,"1,716",7640008002_LA UNION_CASA DE LA CULTURA Y ERMI,LA UNION
17/11/2021,34fa9f248790,"166,761",531,"7,605",292,105,"1,719",7640008003_LA UNION_SAN PEDRO,LA UNION
17/11/2021,34fa9f249860,"149,767",344,"6,178",292,99,"1,719",7640008003_LA UNION_SAN PEDRO,LA UNION
17/11/2021,34fa9f245430,"20,363",23,451,14,10,"1,646",7623308002_Valle del Cauca_Dagua_Parque El ll,DAGUA
17/11/2021,8c7a151b2bb0,"15,173",127,916,27,17,"1,641",7610908001_Valle del Cauca_Buenaventura_Muell,BUENAVENTURA
17/11/2021,34fa9f245b20,"7,014",7,211,28,11,"1,664",7652008002_Valle del Cauca_Palmira_Parque san,PALMIRA
17/11/2021,34fa9f252d00,"55,199",255,"1,196",29,27,"1,635",7614708003_Valle del Cauca_Cartago_casa del v,CARTAGO
17/11/2021,34fa9f251150,"6,373",8,52,29,8,"1,653",7630608002_Valle del Cauca_Ginebra_Parque del,GINEBRA
17/11/2021,34fa9f245c70,"25,469",46,"1,177",32,13,"1,706",7682308002_Valle del Cauca_Toro_El Chanco,TORO
17/11/2021,8c7a151b1150,"13,455",28,331,39,23,"1,635",7614708003_Valle del Cauca_Cartago_casa del v,CARTAGO
17/11/2021,34fa9f247020,"33,798",152,696,40,20,"1,686",7689208001_Valle del Cauca_Yumbo_Guadalupe,YUMBO
17/11/2021,34fa9f246090,"61,273",125,"2,297",40,27,"1,694",7631808001_Valle del Cauca_GuacarÃ­_Casa,GUACARÍ
18/11/2021,34fa9f2523d0,"210,707",528,"6,740",245,103,"1,633",7614708001_Valle del Cauca_Cartago_Plaza de M,CARTAGO
18/11/2021,34fa9f254a60,"204,352",521,"8,257",188,93,"1,633",7614708001_Valle del Cauca_Cartago_Plaza de M,CARTAGO
18/11/2021,34fa9f252d00,"59,344",244,"1,626",63,39,"1,635",7614708003_Valle del Cauca_Cartago_casa del v,CARTAGO
18/11/2021,34fa9f24fda0,"64,206",256,"2,710",142,32,"1,639",7603608002_Valle del Cauca_AndalucÃ­a_Pista At,ANDALUCÃA
18/11/2021,34fa9f24f2b0,"35,626",63,717,77,38,"1,639",7603608002_Valle del Cauca_AndalucÃ­a_Pista At,ANDALUCÃA
18/11/2021,34fa9f248c40,"232,191",400,"7,978",248,90,"1,641",7610908001_Valle del Cauca_Buenaventura_Muell,BUENAVENTURA
18/11/2021,8c7a151b2bb0,"29,707",159,855,82,26,"1,641",7610908001_Valle del Cauca_Buenaventura_Muell,BUENAVENTURA
18/11/2021,34fa9f250860,"38,925",116,"2,376",82,32,"1,642",7612208001_Valle del Cauca_Caicedonia_Parque,CAICEDONIA
18/11/2021,34fa9f252a10,"38,504",39,491,92,31,"1,642",7612208001_Valle del Cauca_Caicedonia_Parque,CAICEDONIA
18/11/2021,34fa9f245430,"35,712",122,"2,672",64,19,"1,646",7623308002_Valle del Cauca_Dagua_Parque El ll,DAGUA
18/11/2021,34fa9f248ae0,"52,902",174,"3,181",182,24,"1,683",7649708002_Obando_Villa Europa,OBANDO
18/11/2021,34fa9f2534a0,"50,285",238,"1,995",142,54,"1,685",7689508001_Valle del Cauca_Zarzal_Parque san,ZARZAL
18/11/2021,34fa9f247f70,"80,916",750,"3,649",235,60,"1,685",7689508001_Valle del Cauca_Zarzal_Parque san,ZARZAL
18/11/2021,34fa9f247020,"31,703",52,323,58,31,"1,686",7689208001_Valle del Cauca_Yumbo_Guadalupe,YUMBO
18/11/2021,34fa9f2446f0,"54,568",102,"1,929",64,39,"1,691",7667008001_Valle del Cauca_San Pedro_Parque,SAN PEDRO
18/11/2021,34fa9f245040,"71,588",201,"2,872",97,44,"1,691",7667008001_Valle del Cauca_San Pedro_Parque,SAN PEDRO
18/11/2021,34fa9f246090,"175,719",370,"9,872",105,67,"1,694",7631808001_Valle del Cauca_GuacarÃ­_Casa,GUACARÍ
18/11/2021,8c7a151ae0d0,"45,578",150,"2,966",145,43,"1,700",7689508002_Valle del Cauca_Zarzal_Parque,ZARZAL
18/11/2021,34fa9f248b50,"213,406","1,407","5,694",110,75,"1,702",7689208003_Valle del Cauca_Yumbo_Polidepo,YUMBO
18/11/2021,34fa9f2474f0,"31,373",41,723,61,23,"1,713",7624808002_EL CERRITO_PARQUE EL PLACER,EL CERRITO
18/11/2021,34fa9f2470e0,"43,852",44,680,183,35,"1,716",7640008002_LA UNION_CASA DE LA CULTURA Y ERMI,LA UNION
18/11/2021,34fa9f2495a0,"30,879",48,513,184,35,"1,716",7640008002_LA UNION_CASA DE LA CULTURA Y ERMI,LA UNION
18/11/2021,34fa9f249860,"122,710",416,"5,133",313,91,"1,719",7640008003_LA UNION_SAN PEDRO,LA UNION
18/11/2021,34fa9f248790,"142,488",772,"7,369",314,94,"1,719",7640008003_LA UNION_SAN PEDRO,LA UNION
18/11/2021,34fa9f245c70,"12,051",27,858,5,5,"1,706",7682308002_Valle del Cauca_Toro_El Chanco,TORO
18/11/2021,34fa9f2441d0,"4,116",12,46,11,7,"1,653",7630608002_Valle del Cauca_Ginebra_Parque del,GINEBRA
18/11/2021,34fa9f245b20,"3,744",2,25,11,5,"1,664",7652008002_Valle del Cauca_Palmira_Parque san,PALMIRA
18/11/2021,34fa9f251150,"12,723",10,82,13,8,"1,653",7630608002_Valle del Cauca_Ginebra_Parque del,GINEBRA
18/11/2021,34fa9f250430,"16,220",18,227,17,10,"1,664",7652008002_Valle del Cauca_Palmira_Parque san,PALMIRA
